Mês;ML;SH;Total
01/01/2024;2620.68;0;2620.68
01/02/2024;80693.12;0;80693.12
01/03/2024;70286.31;0;70286.31
01/04/2024;151105.48;6952.88;158058.36
01/05/2024;226304.35;69887.47;296191.82
01/06/2024;227981.67;80094.83;308076.5
01/07/2024;266632.59;94580.24;361212.83
01/08/2024;234184.83;73613.69;307798.52
01/09/2024;278365.8;33027.82;311393.62
01/10/2024;399906.1;65290.45;465196.55
01/11/2024;566158.42;26955.08;593113.5
01/12/2024;507788.93;2150.24;509939.17
01/01/2025;298738.15;35104.73;333842.88
01/02/2025;258988.56;25451.83;284440.39
01/03/2025;317046.17;36731.59;353777.76
01/04/2025;281624.59;34223.58;315848.17
01/05/2025;330091.11;48292.73;378383.84
01/06/2025;335720.55;45103.81;380824.36
01/07/2025;475929.48;43827;519756.48
01/08/2025;216357.05;26075.48;242432.53
